sample	gro	gro1
L3_M4_S111	L3	study
L3_M4_S112	L3	study
L3_M4_S113	L3	study
L3_M4_S114	L3	study
L3_M4_S115	L3	study
L3_M4_S116	L3	study
L3_M4_S117	L3	study
L3_M4_S118	L3	study
L3_M4_S119	L3	study
L3_M4_S120	L3	study
L3_M4_S121	L3	study
L3_M4_S122	L3	study
L3_M4_S123	L3	study
L3_M4_S124	L3	study
L3_M4_S125	L3	study
L3_M4_S126	L3	study
L3_M4_S127	L3	study
L3_M4_S128	L3	study
L3_M4_S129	L3	study
L3_M4_S130	L3	study
L3_M4_S131	L3	study
L3_M4_S132	L3	study
L3_M4_S133	L3	study
L3_M4_S134	L3	study
L3_M4_S135	L3	study
L3_M4_S136	L3	study
L3_M4_S137	L3	study
L3_M4_S165	L3	study
L3_M4_S178	L3	study
L3_M4_S179	L3	study
L3_M4_S195	L3	study
L3_M4_S196	L3	study
L3_M4_S197	L3	study
L3_M4_S48	L3	study
L3_M4_S49	L3	study
L3_M4_S50	L3	study
L3_M4_S51	L3	study
L3_M4_S52	L3	study
L3_M4_S53	L3	study
L3_M4_S54	L3	study
L3_M4_S55	L3	study
L3_M4_S56	L3	study
L3_M4_S57	L3	study
L3_M4_S58	L3	study
L3_M4_S59	L3	study
L3_M4_S60	L3	study
L3_M4_S61	L3	study
L3_M4_S62	L3	study
L3_M4_S63	L3	study
L3_M4_S64	L3	study
L3_M4_S65	L3	study
L3_M4_S66	L3	study
L3_M4_S67	L3	study
L3_M4_S69	L3	study
L3_M4_S70	L3	study
L3_M4_S71	L3	study
L3_M4_S72	L3	study
L3_M4_S74	L3	study
L3_M4_S75	L3	study
L3_M4_S76	L3	study
L3_M4_S77	L3	study
L3_M4_S78	L3	study
L3_M4_S79	L3	study
L3_M4_S80	L3	study
L3_M4_S81	L3	study
L3_M4_S82	L3	study
L3_M4_S83	L3	study
L3_M4_S84	L3	study
L3_M4_S85	L3	study
L3_M4_S86	L3	study
L3_M4_S87	L3	study
L3_M4_S88	L3	study
L3_M4_S89	L3	study
L3_M4_S90	L3	study
L3_M4_S91	L3	study
L3_M4_S92	L3	study
L3_M4_S93	L3	study
L3_M4_S94	L3	study
L3_M4_S95	L3	study
L3_M4_S96	L3	study
L3_M4_S97	L3	study
L3_M4_S98	L3	study
L3_M4_S99	L3	study
L46_M4meta	L46	study
L46_M4_S139	L46	study
L46_M4_S140	L46	study
L46_M4_S141	L46	study
L46_M4_S142	L46	study
L46_M4_S143	L46	study
L46_M4_S144	L46	study
L46_M4_S145	L46	study
L46_M4_S146	L46	study
L46_M4_S147	L46	study
L46_M4_S148	L46	study
L46_M4_S149	L46	study
L46_M4_S150	L46	study
L46_M4_S151	L46	study
L46_M4_S152	L46	study
L46_M4_S153	L46	study
L46_M4_S154	L46	study
L46_M4_S155	L46	study
L46_M4_S156	L46	study
L46_M4_S157	L46	study
L46_M4_S158	L46	study
L46_M4_S159	L46	study
L46_M4_S160	L46	study
L46_M4_S161	L46	study
L46_M4_S162	L46	study
L46_M4_S163	L46	study
L46_M4_S164	L46	study
L46_M4_S166	L46	study
L46_M4_S168	L46	study
L46_M4_S169	L46	study
L46_M4_S170	L46	study
L46_M4_S171	L46	study
L46_M4_S173	L46	study
L46_M4_S174	L46	study
L46_M4_S175	L46	study
L46_M4_S176	L46	study
L46_M4_S177	L46	study
L46_M4_S187	L46	study
L46_M4_S188	L46	study
L46_M4_S191	L46	study
TK7_M4meta	TK7	study
TK7_M4_S25	TK7	study
TK7_M4_S26	TK7	study
TK7_M4_S27	TK7	study
TK7_M4_S28	TK7	study
TK7_M4_S29	TK7	study
TK7_M4_S30	TK7	study
TK7_M4_S33	TK7	study
TK7_M4_S34	TK7	study
TK7_M4_S35	TK7	study
TK7_M4_S36	TK7	study
TK7_M4_S37	TK7	study
TK7_M4_S38	TK7	study
TK7_M4_S39	TK7	study
TK7_M4_S40	TK7	study
TK7_M4_S41	TK7	study
TK7_M4_S42	TK7	study
TK7_M4_S43	TK7	study
TK7_M4_S44	TK7	study
TK7_M4_S45	TK7	study
TK7_M4_S46	TK7	study
TK7_M4_S47	TK7	study
TK7_M4_S48	TK7	study
TK7_M4_S49	TK7	study
TK7_M4_S50	TK7	study
TK7_M4_S51	TK7	study
TK7_M4_S52	TK7	study
TK7_M4_S53	TK7	study
TK7_M4_S54	TK7	study
TK7_M4_S55	TK7	study
TK7_M4_S56	TK7	study
TK7_M4_S57	TK7	study
TK7_M4_S58	TK7	study
TK7_M4_S59	TK7	study
TK7_M4_S60	TK7	study
TK7_M4_S61	TK7	study
TK7_M4_S62	TK7	study
TK7_M4_S63	TK7	study
TK7_M4_S64	TK7	study
TK7_M4_S65	TK7	study
TK7_M4_S66	TK7	study
TK7_M4_S67	TK7	study
TK7_M4_S68	TK7	study
TK7_M4_S69	TK7	study
TK7_M4_S70	TK7	study
TK7_M4_S71	TK7	study
TK7_M4_S72	TK7	study
TK7_M4_S73	TK7	study
TK7_M4_S74	TK7	study
WQ8_M4meta	WQ8	study
WQ8_M4_S106	WQ8	study
WQ8_M4_S111	WQ8	study
WQ8_M4_S117	WQ8	study
WQ8_M4_S119	WQ8	study
WQ8_M4_S124	WQ8	study
WQ8_M4_S126	WQ8	study
WQ8_M4_S128	WQ8	study
WQ8_M4_S129	WQ8	study
WQ8_M4_S135	WQ8	study
WQ8_M4_S136	WQ8	study
WQ8_M4_S138	WQ8	study
WQ8_M4_S139	WQ8	study
WQ8_M4_S144	WQ8	study
WQ8_M4_S145	WQ8	study
WQ8_M4_S146	WQ8	study
WQ8_M4_S147	WQ8	study
WQ8_M4_S149	WQ8	study
WQ8_M4_S153	WQ8	study
WQ8_M4_S159	WQ8	study
WQ8_M4_S160	WQ8	study
WQ8_M4_S162	WQ8	study
WQ8_M4_S164	WQ8	study
WQ8_M4_S165	WQ8	study
WQ8_M4_S167	WQ8	study
WQ8_M4_S168	WQ8	study
WQ8_M4_S169	WQ8	study
WQ8_M4_S170	WQ8	study
WQ8_M4_S171	WQ8	study
WQ8_M4_S173	WQ8	study
WQ8_M4_S174	WQ8	study
WQ8_M4_S175	WQ8	study
WQ8_M4_S176	WQ8	study
WQ8_M4_S177	WQ8	study
WQ8_M4_S179	WQ8	study
WQ8_M4_S181	WQ8	study
WQ8_M4_S182	WQ8	study
WQ8_M4_S183	WQ8	study
WQ8_M4_S185	WQ8	study
WQ8_M4_S186	WQ8	study
WQ8_M4_S187	WQ8	study
WQ8_M4_S188	WQ8	study
WQ8_M4_S189	WQ8	study
WQ8_M4_S82	WQ8	study
WQ8_M4_S83	WQ8	study
WQ8_M4_S84	WQ8	study
WQ8_M4_S85	WQ8	study
WQ8_M4_S90	WQ8	study
WQ8_M4_S92	WQ8	study
WQ8_M4_S93	WQ8	study
WQ8_M4_S97	WQ8	study
WQ8_M4_S99	WQ8	study
YC8_M4meta	YC8	study
YC8_M4_S100	YC8	study
YC8_M4_S102	YC8	study
YC8_M4_S103	YC8	study
YC8_M4_S104	YC8	study
YC8_M4_S105	YC8	study
YC8_M4_S106	YC8	study
YC8_M4_S107	YC8	study
YC8_M4_S108	YC8	study
YC8_M4_S109	YC8	study
YC8_M4_S110	YC8	study
YC8_M4_S111	YC8	study
YC8_M4_S112	YC8	study
YC8_M4_S114	YC8	study
YC8_M4_S115	YC8	study
YC8_M4_S116	YC8	study
YC8_M4_S117	YC8	study
YC8_M4_S120	YC8	study
YC8_M4_S121	YC8	study
YC8_M4_S122	YC8	study
YC8_M4_S123	YC8	study
YC8_M4_S126	YC8	study
YC8_M4_S129	YC8	study
YC8_M4_S130	YC8	study
YC8_M4_S131	YC8	study
YC8_M4_S132	YC8	study
YC8_M4_S133	YC8	study
YC8_M4_S134	YC8	study
YC8_M4_S135	YC8	study
YC8_M4_S136	YC8	study
YC8_M4_S137	YC8	study
YC8_M4_S138	YC8	study
YC8_M4_S139	YC8	study
YC8_M4_S140	YC8	study
YC8_M4_S142	YC8	study
YC8_M4_S144	YC8	study
YC8_M4_S145	YC8	study
YC8_M4_S146	YC8	study
YC8_M4_S147	YC8	study
YC8_M4_S148	YC8	study
YC8_M4_S149	YC8	study
YC8_M4_S151	YC8	study
YC8_M4_S152	YC8	study
YC8_M4_S153	YC8	study
YC8_M4_S154	YC8	study
YC8_M4_S75	YC8	study
YC8_M4_S76	YC8	study
YC8_M4_S77	YC8	study
YC8_M4_S78	YC8	study
YC8_M4_S79	YC8	study
YC8_M4_S80	YC8	study
YC8_M4_S82	YC8	study
YC8_M4_S83	YC8	study
YC8_M4_S84	YC8	study
YC8_M4_S85	YC8	study
YC8_M4_S87	YC8	study
YC8_M4_S88	YC8	study
YC8_M4_S89	YC8	study
YC8_M4_S90	YC8	study
YC8_M4_S91	YC8	study
YC8_M4_S93	YC8	study
YC8_M4_S97	YC8	study
YC8_M4_S98	YC8	study
YC8_M4_S99	YC8	study
